region,0~9,10~19,20~29,30~39,40~49,50~59,60~69,70~79,80~89,90~99,100~
seoul,783299,985790,1447221,1668253,1701609,1588333,1037752,582367,192801,29719,5037
busan,267227,345503,456514,493958,568218,619703,432899,239641,79128,9497,1489
daegu,208115,289590,326755,342633,438674,419653,253693,148884,53282,6007,543
incheon,271758,324530,402113,455898,516105,494119,255834,142147,54650,7960,701
kwangju,143700,197005,198686,221036,258049,217366,127348,76489,28346,3860,314
daejeon,145049,184964,210749,228720,267008,238664,134281,76136,29005,3918,281
ulsan,116241,139958,158615,180833,211988,201390,100468,45817,16011,2074,139
sejong,29825,23398,23043,40025,37370,25872,15614,10351,4718,634,34
kyeonggi,1251234,1479739,1644870,1969170,2302937,1962003,1027712,616198,232931,32804,3008
kangwon,123275,171073,184802,189754,250407,269286,171452,131730,49542,7578,608
chungbuk,142319,179628,196456,216258,262133,260270,158194,114586,47691,5977,440
chungnam,197236,229214,244233,296909,333108,318857,212781,160439,74759,9433,680
jeonbuk,159824,217813,218698,232517,299535,295583,210933,155007,70437,8725,639
jeonnam,158142,209957,206551,224820,291730,308904,224235,190822,82190,10892,753
kyungbuk,223394,277327,311383,347557,428513,456781,314821,229763,99895,12658,734
kyungnam,317867,384287,394794,476814,580967,551878,337382,216802,92498,10817,596
jeju,63183,77313,73565,85811,110642,96129,57880,39258,17326,3075,213
