region,0~9,10~19,20~29,30~39,40~49,50~59,60~69,70~79,80~89,90~99,100~
seoul,825987,1146509,1488944,1802242,1735779,1576336,915732,520039,155136,24688,3926
busan,265434,407322,466774,529358,583569,628921,371350,214817,62382,7374,1183
daegu,214843,336368,325973,378294,450176,398120,217543,138231,40931,4748,417
incheon,269487,367246,390178,471091,518286,443456,207033,127611,43026,6055,512
kwangju,149644,222879,197582,239308,254480,197712,111276,70341,22560,3167,267
daejeon,152264,210828,209445,250711,266856,226538,111811,69928,22907,3070,225
ulsan,113647,162510,151782,186229,217101,182143,78640,40772,12726,1604,102
sejong,12032,12727,12827,18312,17793,16520,10248,8914,3270,435,39
kyeonggi,1258575,1619150,1562100,2071071,2249470,1731415,838679,556599,178605,25336,2299
kangwon,129660,191577,180716,208796,252053,256968,149499,122786,40264,5833,478
chungbuk,145970,203052,193387,232019,260120,242364,134405,112392,36694,4914,311
chungnam,196796,250543,242134,309190,323325,295283,183545,162452,57534,7433,542
jeonbuk,166173,245976,220440,256667,297989,280597,186025,156650,54994,7308,522
jeonnam,161500,238709,205972,241312,298248,286528,208270,192238,67226,8998,617
kyungbuk,226899,316082,319091,377505,434041,433173,272124,229163,79328,10368,579
kyungnam,319389,433187,392545,511254,573563,512964,282914,210388,74637,8021,452
jeju,60411,82614,67058,85584,103309,82532,49442,37022,12871,2684,186
