region,0~9,10~19,20~29,30~39,40~49,50~59,60~69,70~79,80~89,90~99,100~
seoul,808737,1095810,1459843,1763451,1738953,1593805,940935,546449,164308,27088,4266
busan,263925,387505,458642,518059,580809,632551,383668,226273,66741,8163,1299
daegu,211105,322745,322547,367519,450744,407002,225269,144760,44205,5232,460
incheon,270008,354189,393569,469574,522922,464821,217506,133830,45954,6834,575
kwangju,146975,216073,196390,234845,257153,206201,114825,72727,23885,3566,270
daejeon,151389,204521,208751,245953,271990,232754,116550,72656,24554,3458,235
ulsan,113736,155655,153164,184933,217577,189014,83925,42997,13602,1768,109
sejong,13360,13540,13884,19594,20109,17753,10731,9106,3542,494,40
kyeonggi,1251576,1580802,1576139,2039007,2288932,1816573,877916,580385,192383,28395,2522
kangwon,126868,185598,180364,202244,253169,264144,153150,127008,42723,6472,523
chungbuk,144585,196043,192553,227068,264661,249069,139039,114404,39676,5279,355
chungnam,196979,244451,240680,306780,331271,305002,187634,163655,62325,8275,579
jeonbuk,163559,238091,217630,248955,301219,288725,189514,157541,58921,8228,582
jeonnam,159089,230502,203211,235164,297576,297793,208811,193402,70734,10219,671
kyungbuk,224312,304539,314302,367719,435125,442666,279847,234474,84593,11235,628
kyungnam,317065,418456,389509,499756,582410,529511,292689,215473,79480,8982,489
jeju,60666,81195,68351,84793,105341,87872,50547,37660,13992,3199,190
