region,0~9,10~19,20~29,30~39,40~49,50~59,60~69,70~79,80~89,90~99,100~
seoul,662693,819571,1456623,1509959,1560983,1539968,1189802,684087,259487,39690,6244
busan,243321,283240,436149,435710,517782,583099,507247,284110,107326,14067,1790
daegu,188312,237198,323641,305986,393387,428249,308797,170112,73058,8613,678
incheon,242400,283251,407608,421189,489961,516594,339270,171138,73339,11393,883
kwangju,126519,164431,207448,192943,244566,233280,153369,90695,37474,5344,399
daejeon,121829,153179,212629,200480,242481,243869,168307,87513,38853,5397,333
ulsan,104371,116733,149137,159743,190771,211359,134651,56946,21222,2928,158
sejong,47249,40037,36340,61464,64472,42480,27208,13445,6764,1063,53
kyeonggi,1184990,1355462,1770695,1925827,2290198,2198828,1399372,737272,325340,47768,3914
kangwon,109556,143799,181102,170669,228292,270588,223088,135991,67330,10293,794
chungbuk,129285,154357,200205,200080,243597,274429,207296,118902,62856,8466,534
chungnam,181907,208186,245737,279253,328355,341504,261164,166601,96991,13146,865
jeonbuk,137083,182472,213865,197979,274445,303635,242850,164877,88415,12492,804
jeonnam,139429,175262,204910,195424,266036,318048,257341,192430,104585,14485,795
kyungbuk,200184,235748,294550,306807,391533,465268,386456,237963,129177,17223,927
kyungnam,285500,333957,387562,422681,543280,585420,430008,239382,118395,15649,719
jeju,62286,72127,82155,84830,113091,110759,74425,44580,22724,3742,270
