region,0~9,10~19,20~29,30~39,40~49,50~59,60~69,70~79,80~89,90~99,100~
seoul,"761,314","934,205","1,442,701","1,620,974","1,678,172","1,570,037","1,076,270","602,541","207,716","31,211","5,475"
busan,"267,087","325,210","455,199","483,516","558,328","610,400","454,451","246,583","85,833","10,337","1,585"
daegu,"207,036","274,127","329,927","333,768","431,822","422,215","270,182","150,535","57,934","6,420",591
incheon,"269,510","311,493","406,622","450,143","512,174","502,587","274,298","147,609","59,356","8,523",754
kwangju,"140,957","187,604","201,402","213,395","255,953","222,914","132,868","79,294","30,370","4,102",355
daejeon,"142,076","175,916","212,796","222,879","264,265","239,111","143,650","77,775","31,484","4,110",308
ulsan,"115,921","132,712","158,704","177,144","206,835","205,095","108,980","47,361","17,214","2,200",138
sejong,"34,911","27,125","26,523","45,951","44,188","29,440","18,159","10,793","5,219",690,49
kyeonggi,"1,251,110","1,439,515","1,687,250","1,955,946","2,312,530","2,025,958","1,110,220","640,149","255,340","35,457","3,305"
kangwon,"121,381","163,401","184,869","185,407","246,372","271,727","182,332","132,782","53,788","8,091",656
chungbuk,"141,545","171,795","198,134","212,590","259,637","264,834","170,236","114,117","51,888","6,378",471
chungnam,"197,206","222,359","246,298","294,535","335,721","324,122","225,825","158,809","81,086","10,028",738
jeonbuk,"157,372","207,621","219,336","225,651","295,584","299,275","218,693","155,956","75,319","9,287",697
jeonnam,"156,736","199,894","206,423","219,492","286,240","314,488","231,176","189,990","87,370","11,346",759
kyungbuk,"222,272","264,658","308,303","339,593","421,947","460,007","336,251","225,768","107,402","13,386",811
kyungnam,"315,476","367,662","397,368","466,247","574,855","561,503","360,856","218,363","99,237","11,665",639
jeju,"64,258","75,741","76,573","86,909","112,430","100,948","61,974","40,694","18,738","3,101",231
