region,0~9,10~19,20~29,30~39,40~49,50~59,60~69,70~79,80~89,90~99,100~
seoul,690368,855121,1449790,1548770,1590374,1546954,1142415,660825,238869,36294,5843
busan,251442,296145,444737,454711,527047,593189,488127,272992,98675,12723,1665
daegu,194953,249672,330845,317978,404270,431143,292750,164586,67069,7875,628
incheon,251301,292324,409794,433669,494723,514229,315032,164392,68151,10201,826
kwangju,131277,171887,205743,200420,246391,231284,145281,87000,34920,4762,371
daejeon,128497,160537,213955,209040,249652,242983,159155,84756,36054,4988,319
ulsan,108363,121540,153359,166208,194425,210492,124918,53882,19654,2624,158
sejong,44452,36695,34031,58381,58247,38373,24261,12533,6208,891,54
kyeonggi,1209856,1384896,1749054,1949571,2291231,2145977,1289902,710464,299824,42776,3602
kangwon,112664,150060,182891,175578,233996,271635,207147,136550,62323,9497,711
chungbuk,133659,159713,200941,205568,248623,271428,194090,118431,58700,7578,521
chungnam,189024,213551,248443,288943,331657,338050,248096,164280,91497,11962,779
jeonbuk,143990,190798,217554,207874,281151,304598,232335,162865,83485,11434,748
jeonnam,145246,183499,206817,204928,271461,319904,246135,192446,98837,12922,775
kyungbuk,207609,245099,300125,319542,399573,467650,365286,235036,120081,15972,858
kyungnam,296642,345897,394180,441235,552404,579597,405089,233023,111177,14066,678
jeju,63719,73719,81714,87727,113362,108398,69620,43875,21468,3342,247
