region,0~9,10~19,20~29,30~39,40~49,50~59,60~69,70~79,80~89,90~99,100~
seoul,793992,1044513,1457951,1713666,1729469,1604160,980220,568848,177339,28404,4671
busan,263767,366769,456897,504816,576487,630397,401805,235574,72728,8754,1407
daegu,208524,307096,323936,353237,446088,415681,235408,148568,48605,5620,501
incheon,270156,339868,398391,461260,521070,482300,232989,138554,49951,7451,618
kwangju,145156,207671,197540,227820,260090,212836,119644,74942,26232,3653,300
daejeon,148662,196196,210031,237696,271600,237648,124378,74926,26713,3699,260
ulsan,114860,148060,156137,182664,216238,196210,90542,44785,14847,1906,128
sejong,19524,17155,17532,27648,26757,20781,12369,9688,4081,556,34
kyeonggi,1243973,1533881,1608430,1991551,2303367,1896033,936958,599700,210845,30333,2759
kangwon,124511,178979,181760,194502,252750,267736,160635,130099,45895,7021,554
chungbuk,142815,188890,194013,220756,265726,255182,146731,115403,43469,5548,400
chungnam,196099,237378,242365,300806,333778,313612,196659,163686,68455,8814,621
jeonbuk,161307,228459,217542,239288,303136,293042,198061,157179,64428,8515,603
jeonnam,157224,220929,204149,228077,296355,304092,214646,192592,76455,10560,701
kyungbuk,222679,291169,312801,356199,433992,451711,292417,235172,92195,11767,692
kyungnam,316462,402689,391686,486893,585426,542595,309526,218473,86183,9768,556
jeju,61663,79202,70883,84968,107887,92145,53120,38415,15722,3140,201
