region,0~9,10~19,20~29,30~39,40~49,50~59,60~69,70~79,80~89,90~99,100~
seoul,728462,894656,1447115,1579189,1647989,1553543,1109052,635309,223113,33479,5519
busan,258732,310044,451791,467624,545052,599544,472617,259903,92153,11579,1614
daegu,201043,261756,332212,324015,421146,424677,282918,157294,62457,7098,615
incheon,259925,301563,409811,439665,506584,507101,293572,156769,63429,9332,791
kwangju,135873,179807,203610,205522,253204,225935,138675,83744,32556,4499,345
daejeon,135218,168005,213973,215284,258705,239297,152044,81244,33602,4541,314
ulsan,112441,126894,156966,171065,201695,207642,116984,50444,18430,2418,153
sejong,40172,32063,30266,52407,52120,33671,21100,11710,5768,774,49
kyeonggi,1226500,1410636,1721524,1934989,2313960,2077756,1192377,677314,276699,38771,3369
kangwon,116726,156946,185914,180188,242216,270839,194407,135621,57862,8726,697
chungbuk,137206,165826,199663,207682,255596,267036,182281,116357,55312,6996,477
chungnam,193878,218457,248359,292363,336528,330207,237184,161824,86297,10919,754
jeonbuk,150817,199956,219942,215957,291298,300220,224916,160990,79365,10440,706
jeonnam,151229,191645,207412,212235,281291,316532,237209,192849,93150,12133,739
kyungbuk,215451,254396,305390,329087,414254,461486,352151,230114,113788,14776,813
kyungnam,307415,356902,397268,454065,566645,569852,383935,225324,105518,12827,653
jeju,64110,74873,79751,87312,114469,104866,65842,42296,20100,3222,242
